date,P,T,E,Qmm
01/01/1983,12.71,-8.87,0.25,0.14
02/01/1983,1.76,-13.13,0.0,0.14
03/01/1983,0.05,-16.78,0.0,0.14
04/01/1983,0.06,-18.95,0.0,0.14
05/01/1983,0.03,-17.02,0.0,0.14
06/01/1983,0.03,-17.49,0.0,0.15
07/01/1983,0.0,-15.29,0.0,0.15
08/01/1983,0.0,-15.5,0.0,0.15
09/01/1983,0.0,-13.8,0.0,0.15
10/01/1983,0.02,-13.3,0.0,0.15
11/01/1983,0.53,-12.06,0.0,0.15
12/01/1983,0.5,-11.08,0.02,0.15
13/01/1983,0.17,-13.69,0.0,0.15
14/01/1983,0.02,-12.85,0.0,0.15
15/01/1983,0.0,-12.94,0.0,0.15
16/01/1983,1.59,-11.3,0.0,0.15
17/01/1983,5.35,-5.13,0.38,0.15
18/01/1983,3.46,-4.6,0.43,0.15
19/01/1983,0.14,-5.75,0.6,0.15
20/01/1983,0.04,-9.78,0.25,0.15
21/01/1983,1.51,-5.88,0.52,0.15
22/01/1983,1.08,-3.83,0.44,0.15
23/01/1983,0.96,-6.03,0.45,0.15
24/01/1983,2.48,-9.69,0.23,0.15
25/01/1983,0.81,-15.09,0.0,0.15
26/01/1983,0.06,-17.38,0.0,0.15
27/01/1983,0.02,-14.98,0.0,0.15
28/01/1983,0.01,-15.31,0.0,0.15
29/01/1983,0.82,-11.98,0.0,0.15
30/01/1983,0.24,-8.88,0.39,0.15
31/01/1983,0.16,-7.76,0.56,0.15
01/02/1983,0.32,-5.32,0.61,0.15
02/02/1983,0.05,-6.15,0.64,0.15
03/02/1983,0.0,-7.9,0.59,0.16
04/02/1983,0.58,-7.88,0.61,0.16
05/02/1983,6.51,-6.14,0.51,0.16
06/02/1983,1.39,-6.32,0.53,0.16
07/02/1983,0.14,-5.36,0.64,0.16
08/02/1983,0.02,-6.18,0.71,0.16
09/02/1983,0.0,-6.79,0.7,0.16
10/02/1983,0.0,-7.11,0.7,0.16
11/02/1983,0.0,-5.98,0.78,0.17
12/02/1983,0.0,-2.83,1.06,0.17
13/02/1983,0.26,-2.51,0.77,0.17
14/02/1983,3.43,-4.83,0.71,0.18
15/02/1983,0.01,-8.21,0.61,0.18
16/02/1983,0.0,-8.77,0.58,0.18
17/02/1983,0.04,-8.93,0.58,0.19
18/02/1983,8.66,-5.58,0.74,0.19
19/02/1983,13.02,-6.1,0.56,0.19
20/02/1983,4.3,-9.06,0.35,0.19
21/02/1983,3.6,-11.88,0.0,0.21
22/02/1983,0.02,-14.66,0.0,0.21
23/02/1983,0.15,-12.22,0.0,0.21
24/02/1983,4.17,-7.74,0.66,0.22
25/02/1983,9.09,-5.44,0.66,0.22
26/02/1983,4.87,-7.71,0.6,0.22
27/02/1983,0.25,-9.66,0.29,0.23
28/02/1983,0.0,-10.09,0.27,0.24
01/03/1983,0.53,-8.8,0.68,0.26
02/03/1983,0.86,-5.44,0.75,0.26
03/03/1983,3.52,-4.14,0.74,0.27
04/03/1983,16.99,-4.19,0.91,0.34
05/03/1983,7.81,-10.86,0.08,0.3
06/03/1983,1.13,-13.76,0.0,0.22
07/03/1983,0.0,-12.77,0.0,0.21
08/03/1983,3.53,-8.61,0.68,0.22
09/03/1983,6.2,-6.23,0.64,0.19
10/03/1983,1.28,-4.27,0.97,0.2
11/03/1983,0.21,-2.75,1.17,0.23
12/03/1983,0.7,-1.57,1.2,0.28
13/03/1983,7.5,-0.32,1.04,0.34
14/03/1983,7.95,0.83,1.16,0.3
15/03/1983,0.67,0.3,1.18,0.31
16/03/1983,0.79,-0.7,1.18,0.31
17/03/1983,0.37,-0.8,1.26,0.33
18/03/1983,0.61,-0.66,1.27,0.31
19/03/1983,0.0,-1.41,1.39,0.31
20/03/1983,0.83,0.18,1.47,0.33
21/03/1983,9.7,-0.24,1.02,0.33
22/03/1983,3.31,-0.25,1.04,0.33
23/03/1983,0.04,0.66,1.38,0.34
24/03/1983,0.0,0.75,1.64,0.36
25/03/1983,0.0,1.62,1.85,0.37
26/03/1983,0.0,1.99,1.96,0.41
27/03/1983,0.0,2.54,1.94,0.48
28/03/1983,0.22,4.17,1.98,0.58
29/03/1983,0.61,3.84,1.98,0.6
30/03/1983,0.02,2.62,1.96,0.62
31/03/1983,0.0,1.72,2.12,0.58
01/04/1983,0.0,1.57,2.19,0.53
02/04/1983,0.17,1.38,1.91,0.5
03/04/1983,1.38,2.78,1.81,0.46
04/04/1983,1.49,3.21,2.03,0.5
05/04/1983,0.06,2.73,2.17,0.51
06/04/1983,0.15,3.55,2.11,0.51
07/04/1983,1.22,2.79,1.85,0.5
08/04/1983,6.17,3.0,1.88,0.51
09/04/1983,6.13,3.54,2.24,0.64
10/04/1983,2.53,2.76,2.14,0.66
11/04/1983,3.1,3.5,2.11,0.64
12/04/1983,1.13,4.72,2.31,0.6
13/04/1983,0.31,6.23,2.72,0.58
14/04/1983,0.0,7.12,3.0,0.58
15/04/1983,0.0,6.61,2.82,0.58
16/04/1983,3.23,5.78,2.5,0.58
17/04/1983,11.39,3.0,2.07,0.6
18/04/1983,4.54,0.53,1.71,0.62
19/04/1983,6.93,0.64,1.64,0.57
20/04/1983,4.26,0.15,1.75,0.53
21/04/1983,6.57,-0.23,1.81,0.51
22/04/1983,2.31,1.0,2.05,0.53
23/04/1983,3.19,1.48,1.99,0.53
24/04/1983,0.41,4.06,2.34,0.51
25/04/1983,0.12,5.38,3.02,0.5
26/04/1983,3.57,4.9,2.61,0.48
27/04/1983,1.4,4.23,2.75,0.51
28/04/1983,0.04,6.89,3.34,0.51
29/04/1983,0.08,9.63,3.69,0.5
30/04/1983,1.96,9.12,3.45,0.51
01/05/1983,5.27,6.45,2.69,0.53
02/05/1983,0.03,9.23,3.74,0.57
03/05/1983,10.99,7.66,2.57,0.7
04/05/1983,8.42,5.66,2.57,1.41
05/05/1983,5.99,4.21,2.55,1.2
06/05/1983,0.33,5.34,3.04,0.9
07/05/1983,1.48,7.38,3.52,0.47
08/05/1983,8.52,5.91,2.79,0.5
09/05/1983,0.69,5.21,2.68,0.56
10/05/1983,0.2,7.0,3.38,0.48
11/05/1983,3.87,7.29,2.99,0.45
12/05/1983,4.14,7.18,3.34,0.5
13/05/1983,1.97,7.19,3.28,0.54
14/05/1983,8.8,7.92,3.16,0.54
15/05/1983,15.37,8.41,2.5,0.91
16/05/1983,11.06,9.44,2.8,1.63
17/05/1983,5.78,9.59,3.36,2.41
18/05/1983,3.39,10.26,3.86,2.27
19/05/1983,3.1,10.62,3.38,2.04
20/05/1983,0.87,10.86,3.56,1.99
21/05/1983,1.0,11.78,3.88,1.43
